"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Federated States of Micronesia" "Federated States of Micronesia" "Australia" 57.7 NA "(51.8,63.4]" "Astr" "Australia" 155.8 2004 "(152,476]" 5.04857313343665 "(81.2,212]"
"Moldova" "Moldova" "Europe" 59.8 NA "(51.8,63.4]" "Eurp" "Europe" 45.7 2004 "(31.1,152]" 3.82209829790016 "(24.2,81.2]"
"Monaco" "Monaco" "Europe" 72.9 NA "(63.4,75]" "Eurp" "Europe" 5329.5 2004 "(476,6.1e+03]" 8.58101270412919 "(695,6.1e+03]"
"Mongolia" "Mongolia" "Asia" 55.6 NA "(51.8,63.4]" "Asia" "Asia" 37.3 2004 "(31.1,152]" 3.61899332664977 "(24.2,81.2]"
"Morocco" "Morocco" "Africa" 60.2 800 "(51.8,63.4]" "Afrc" "Africa" 82.2 2004 "(31.1,152]" 4.40915530206213 "(81.2,212]"
"Mozambique" "Mozambique" "Africa" 36.9 432 "(28.6,40.2]" "Afrc" "Africa" 12.3 2004 "[0.3,31.1]" 2.50959926237837 "[0.3,24.2]"
"Namibia" "Namibia" "Africa" 43.3 NA "(40.2,51.8]" "Afrc" "Africa" 189.8 2004 "(152,476]" 5.24597088617583 "(81.2,212]"
"Nauru" "Nauru" "Australia" 55.1 NA "(51.8,63.4]" "Astr" "Australia" NA NA NA NA NA
"Nepal" "Nepal" "Asia" 51.8 619 "(40.2,51.8]" "Asia" "Asia" 14.1 2004 "[0.3,31.1]" 2.64617479738412 "[0.3,24.2]"
"Netherlands" "Netherlands" "Europe" 71.2 2323 "(63.4,75]" "Eurp" "Europe" 3441.7 2004 "(476,6.1e+03]" 8.14372081434425 "(695,6.1e+03]"
"New Zealand" "New Zealand" "Australia" 70.8 NA "(63.4,75]" "Astr" "Australia" 2039.6 2004 "(476,6.1e+03]" 7.620508989181 "(695,6.1e+03]"
"Nicaragua" "Nicaragua" "South America" 61.4 793 "(51.8,63.4]" "SthA" "S.America" 67.1 2004 "(31.1,152]" 4.20618404397764 "(24.2,81.2]"
"Niger" "Niger" "Africa" 35.5 NA "(28.6,40.2]" "Afrc" "Africa" 8.6 2004 "[0.3,31.1]" 2.15176220325946 "[0.3,24.2]"
"Nigeria" "Nigeria" "Africa" 41.5 189 "(40.2,51.8]" "Afrc" "Africa" 23 2004 "[0.3,31.1]" 3.13549421592915 "[0.3,24.2]"
"Niue" "Niue" "Australia" 60.4 NA "(51.8,63.4]" "Astr" "Australia" NA NA NA NA NA
"Norway" "Norway" "Europe" 72 725 "(63.4,75]" "Eurp" "Europe" 5404.7 2004 "(476,6.1e+03]" 8.59502422437008 "(695,6.1e+03]"
"Oman" "Oman" "Asia" 64 NA "(63.4,75]" "Asia" "Asia" 294.6 2004 "(152,476]" 5.68561850402853 "(212,695]"
"Pakistan" "Pakistan" "Asia" 53.3 564 "(51.8,63.4]" "Asia" "Asia" 13.6 2004 "[0.3,31.1]" 2.61006979274201 "[0.3,24.2]"
"Palau" "Palau" "Australia" 59.6 NA "(51.8,63.4]" "Astr" "Australia" 655.8 2004 "(476,6.1e+03]" 6.48585586441055 "(212,695]"
"Panama" "Panama" "North America" 66.2 244 "(63.4,75]" "NrtA" "N.America" 342.7 2004 "(152,476]" 5.83685542888056 "(212,695]"
"Papua New Guinea" "Papua New Guinea" "Africa" 51.9 NA "(51.8,63.4]" "Afrc" "Africa" 30.4 2004 "[0.3,31.1]" 3.41444260841218 "(24.2,81.2]"
"Paraguay" "Paraguay" "South America" 61.9 1748 "(51.8,63.4]" "SthA" "S.America" 88.4 2004 "(31.1,152]" 4.4818719696436 "(81.2,212]"
"Peru" "Peru" "South America" 61 195 "(51.8,63.4]" "SthA" "S.America" 103.7 2004 "(31.1,152]" 4.64150211523548 "(81.2,212]"
"Philippines" "Philippines" "Asia" 59.3 1849 "(51.8,63.4]" "Asia" "Asia" 36.1 2004 "(31.1,152]" 3.58629286533884 "(24.2,81.2]"
"Poland" "Poland" "Europe" 65.8 2061 "(63.4,75]" "Eurp" "Europe" 410.7 2004 "(152,476]" 6.01786302096251 "(212,695]"
"Portugal" "Portugal" "Europe" 69.2 2079 "(63.4,75]" "Eurp" "Europe" 1665.1 2004 "(476,6.1e+03]" 7.41764046067107 "(695,6.1e+03]"
"Qatar" "Qatar" "Asia" 65.2 NA "(63.4,75]" "Asia" "Asia" 992.4 2004 "(476,6.1e+03]" 6.90012625181765 "(695,6.1e+03]"
